stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
EH070,1162,"WESTPARK / PARKRIDGE",,45.437658,-75.573692,,,0
EH080,2592,"WESTPARK / PARKRIDGE",,45.435718,-75.574146,,,0
EH090,8686,"WESTPARK / PARKRIDGE",,45.435969,-75.574026,,,0
EH100,8690,"WESTPARK / PARKWOOD",,45.435399,-75.572515,,,0
EH110,2593,"WESTPARK / PARKWOOD",,45.435521,-75.572104,,,0
EH120,8688,"WESTPARK / HIGHPARK",,45.437603,-75.570293,,,0
EH130,2594,"WESTPARK / HIGHPARK",,45.437423,-75.570219,,,0
EH140,8676,"WESTPARK / BEARBROOK",,45.438199,-75.568276,,,0
EH150,2595,"WESTPARK / BEARBROOK",,45.438133,-75.567907,,,0
EH160,8693,"BEARBROOK / CENTREPARK",,45.436579,-75.567217,,,0
EH170,8692,"BEARBROOK / CENTREPARK",,45.43657,-75.567115,,,0
EH180,8936,"BEARBROOK / CENTREPARK",,45.434203,-75.566016,,,0
EH270,8684,"NORTHPARK / BEARBROOK",,45.435312,-75.566305,,,0
EH280,8695,"NORTHPARK / BEARBROOK",,45.435237,-75.565948,,,0
EH290,2600,"NORTHPARK / BURNVIEW",,45.435511,-75.564205,,,0
EH300,2602,"NORTHPARK / RIDGEBURN",,45.435774,-75.563421,,,0
EH310,2601,"RIDGEBURN / DICEMAN",,45.435747,-75.561121,,,0
EH320,8196,"RIDGEBURN / EASTPARK",,45.435712,-75.560176,,,0
EH330,8195,"EASTPARK / BEECHMONT",,45.43796,-75.560023,,,0
EH340,2603,"EASTPARK / BEECHMONT",,45.437852,-75.560051,,,0
EH350,2606,"EASTPARK / OAKHURST",,45.438132,-75.558001,,,0
EH360,2604,"EASTPARK / OAKHURST",,45.438097,-75.55804,,,0
EH370,2605,"EASTPARK / RED MAPLE",,45.436983,-75.555042,,,0
EH380,2607,"EASTPARK / REDMAPLE",,45.437009,-75.554875,,,0
EH390,2608,"EASTPARK / INNES",,45.436105,-75.554366,,,0
EH400,8952,"INNES / RONDEL",,45.43562,-75.554502,,,0
EH410,1522,"INNES / EASTPARK",,45.435792,-75.554627,,,0
EH420,2609,"INNES / EASTPARK",,45.434505,-75.557818,,,0
EH430,8197,"INNES / EASTPARK",,45.434395,-75.557641,,,0
EH441,8683,"INNES / ORIENT PARK",,45.433605,-75.56007,,,0
EH450,8199,"INNES / ORIENT PARK",,45.43346,-75.559945,,,0
EH456,2610,"INNES / INNES ROAD PLAZA",,45.432596,-75.562029,,,0
EH458,2612,"INNES / BEARBROOK",,45.432759,-75.562167,,,0
EH460,2611,"INNES / GLEN PARK",,45.431908,-75.563766,,,0
EH480,8928,"INNES / BEARBROOK",,45.431488,-75.565268,,,0
EH493,5927,"BLACKBURN ARENA",,45.429832,-75.564069,,,0
EH500,8682,"INNES / BEDDOE",,45.43033,-75.567767,,,0
EH510,8799,"INNES / GRAVELLE",,45.430395,-75.568047,,,0
EH525,1866,"INNES / PÉPIN",,45.427595,-75.574508,,,0
EH530,2613,"INNES / TAUVETTE",,45.428451,-75.572411,,,0
EH535,2614,"INNES / TAUVETTE",,45.428269,-75.573258,,,0
EH550,8678,"TAUVETTE / INNES",,45.42868,-75.572944,,,0
EH570,2615,"TAUVETTE / AD. 19",,45.430651,-75.574011,,,0
EH590,2616,"TAUVETTE / SOUTHPARK",,45.432549,-75.575041,,,0
EH600,8679,"SOUTHPARK / TAUVETTE",,45.432984,-75.574344,,,0
EH620,2618,"SOUTHPARK / WOODVIEW",,45.433374,-75.571436,,,0
EH630,2619,"SOUTHPARK / WOODBURN",,45.43236,-75.569599,,,0
EH650,8025,"SOUTHPARK / INNES",,45.431358,-75.566919,,,0
EH700,765,"ANDERSON / ANDERSON",,45.419708,-75.568338,,,0
EH705,766,"ANDERSON / WEIR",,45.419804,-75.568042,,,0
EH710,1015,"RENAUD / MAURICE",,45.421004,-75.559666,,,0
EH715,1013,"RENAUD / MAURICE",,45.421062,-75.560214,,,0
EI020,8191,"ST JOSEPH / BEARBROOK",,45.453867,-75.574066,,,0
EI030,8990,"ST JOSEPH / BEARBROOK",,45.45304,-75.576394,,,0
EI040,2630,"ST JOSEPH / AD. 1300",,45.455577,-75.57079,,,0
EI050,2633,"ST JOSEPH / AD. 1207",,45.455768,-75.571005,,,0
EI060,2631,"ST JOSEPH / HART",,45.456331,-75.569397,,,0
EI070,2634,"ST JOSEPH / HART",,45.456814,-75.569018,,,0
EI080,2635,"ST JOSEPH / AD. 1360",,45.458039,-75.565942,,,0
EI085,2632,"ST JOSEPH / AD. 1360",,45.457858,-75.565715,,,0
EI090,8194,"ST JOSEPH / RCMP",,45.458726,-75.564102,,,0
EI095,8193,"ST JOSEPH / RCMP",,45.458842,-75.56286,,,0
EI100,2636,"ST JOSEPH / AD. 1533",,45.459753,-75.560889,,,0
EI110,2638,"ST JOSEPH / AD. 1533",,45.459589,-75.560649,,,0
EI140,2637,"ST JOSEPH / GOLDEN VALLEY",,45.46076,-75.553251,,,0
EI150,2639,"ST JOSEPH / AD. 1510",,45.460499,-75.553166,,,0
EI160,2640,"ST JOSEPH / FOREST VALLEY",,45.461326,-75.548804,,,0
EI180,8120,"ST JOSEPH / YOUVILLE",,45.461731,-75.547672,,,0
EI190,8100,"ST JOSEPH / AD. 1820",,45.461704,-75.546624,,,0
EI200,2641,"ST JOSEPH / CHANTS D'OISEAUX",,45.462564,-75.543937,,,0
EI210,2643,"ST JOSEPH / CHANTS D'OISEAUX",,45.462382,-75.543774,,,0
EI220,2642,"ST JOSEPH / MARENGER",,45.463164,-75.54252,,,0
EI230,2644,"ST JOSEPH / MARENGER",,45.463354,-75.54166,,,0
EI240,8463,"ST JOSEPH / JEANNE D'ARC",,45.464021,-75.540728,,,0
EI241,9058,"RENAUD / PAGÉ",,45.429957,-75.516832,,,0
EI242,9059,"RENAUD / PAGÉ",,45.429537,-75.517387,,,0
EI244,9060,"RENAUD / SADDLERIDGE",,45.429162,-75.518609,,,0
EI246,9061,"RENAUD / SADDLERIDGE",,45.429072,-75.518534,,,0
EI248,9062,"RENAUD / PERCIFOR",,45.42724,-75.523192,,,0
EI249,5936,"PAGÉ / NAVAN",,45.429944,-75.51742,,,0
EI250,9063,"RENAUD / JOSHUA",,45.426796,-75.52389,,,0
EI252,5928,"SADDLERIDGE / ROLLING MEADOWS",,45.428087,-75.518104,,,0
EI257,5934,"SADDLERIDGE / DOVEHAVEN",,45.42645,-75.517123,,,0
EI260,7735,"INNES / PAGÉ",,45.446921,-75.526496,,,0
EI262,5931,"JOSHUA / KEITH",,45.425714,-75.521583,,,0
EI272,2645,"INNES / ORLÉANS",,45.444669,-75.532568,,,0
